sentence1,sentence2,label,pred,abs_error,category
A woman is playing the flute.,A man is playing a flute.,2.75,3.8569822907447815,1.1069822907447815,other
A woman is cutting an onion.,A man is cutting onions.,2.615,3.830275535583496,1.2152755355834959,other
People are playing cricket.,Men are playing cricket.,3.2,4.364438056945801,1.1644380569458006,other
The girl sang into a microphone.,The lady sang into the microphone.,2.4,3.9469504356384277,1.5469504356384278,other
The lady cracked an egg into a bowl.,The man is cracking eggs into a bowl.,2.6,3.8615387678146362,1.2615387678146361,other
A woman is taking a picture.,A man is playing a guitar.,0.25,-0.7877194881439209,1.037719488143921,low_overlap
Two little girls are talking on the phone.,A little girl is walking down the street.,0.5,1.7499662935733795,1.2499662935733795,low_overlap
A guy is playing hackysack,A man is playing a key-board.,1.0,2.5212907791137695,1.5212907791137695,other
A man is pressing microwave buttons.,A man turns on the microwave.,2.75,3.98497998714447,1.2349799871444702,low_overlap
Men are jumping into water from a bridge.,Men jump in a river.,2.75,3.7777191400527954,1.0277191400527954,low_overlap
People are playing baseball.,The cricket player hit the ball.,0.5,2.1955549716949463,1.6955549716949463,low_overlap
A woman puts cosmetics on her eyelid.,The woman is pencilling on eye shadow.,4.0,2.5520187616348267,1.4479812383651733,low_overlap
The lady stirred up raw eggs in the bowl.,A woman is pouring eyes into a bowl.,1.0,2.6965200901031494,1.6965200901031494,low_overlap
The lady cut the tail and body of a shrimp.,A woman is cleaning a shrimp.,4.5,3.3604371547698975,1.1395628452301025,low_overlap
Three men are dancing.,Women are dancing.,1.3,2.644268274307251,1.344268274307251,low_overlap
A woman is chopping an onion.,A woman is chopping garlic with a knife.,1.8,3.4591779112815857,1.6591779112815856,other
A man is playing flute.,A man is dancing.,0.2,1.4030641317367554,1.2030641317367554,other
A parrot is talking.,A parrot is talking into a microphone.,3.0,4.519330859184265,1.5193308591842651,other
A woman is mixing eggs.,The woman is eating.,0.5,1.7888616025447845,1.2888616025447845,low_overlap
Someone is greating a carrot.,A woman is grating an orange food.,2.5,1.353280246257782,1.146719753742218,low_overlap
A monkey is karate kicking a person.,A monkey pratices martial arts.,2.5,3.9258241653442383,1.4258241653442383,low_overlap
A tiger is playing with his trainer.,A tiger attacks a man.,1.333,3.24127733707428,1.9082773370742798,low_overlap
A cat retrieves an object out of a dish of water.,The cat tried to eat the corn on the cob.,0.6,2.154228687286377,1.5542286872863769,low_overlap
The girl is slicing an onion.,A woman is chopping an onion into small pieces.,2.2,3.7641149759292603,1.56411497592926,low_overlap
A small red and gray bird perched amongst the bare branches of a tree.,A red and brown bird is perched on branches.,2.25,4.154307246208191,1.904307246208191,other
The lamb is looking at the camera.,A cat looking at the camera.,0.8,2.273850291967392,1.473850291967392,other
The udders of a dairy cow that is standing in a pasture near a large building.,The black and brown cow is standing on the green grass.,2.0,3.007959723472595,1.0079597234725952,other
A black train moves down the tracks.,A mostly black train on a track.,3.0,4.2128026485443115,1.2128026485443115,other
A smiling woman holding a small baby.,Two smiling women holding a baby.,3.0,4.2415159940719604,1.2415159940719604,other
Two airplanes in the sky.,A plane in the sky.,2.4,3.631531000137329,1.2315310001373292,other
A bicycle in front of some ruins.,A pink bicycle is in front of a building.,2.2,3.2757604122161865,1.0757604122161863,other
Two white dogs are swimming in the water.,The birds are swimming in the water.,0.8,2.6465344429016113,1.8465344429016113,other
Black domestic cat lying on brown table.,A grey cat laying on a dining table.,1.4,3.740410804748535,2.3404108047485352,other
Young baby girl sitting on table.,A woman with a smiling baby sitting on the table.,1.6,3.428083062171936,1.828083062171936,other
A black and white cat is sitting on a brown chair looking up.,Black and white cat sitting on wood chair looking up.,3.6,4.673898816108704,1.0738988161087035,other
A laptop computer and a computer monitor.,A laptop and a PC at a workstation.,2.6,3.852750062942505,1.2527500629425048,other
A white cat laying on an office chair.,A white cat laying on a sheet.,2.4,3.678525686264038,1.2785256862640382,other
Dark colored dog standing in grassy field.,A grey dog standing in a grassy field.,3.2,4.289734065532684,1.0897340655326841,other
Two brown horses standing in grassy field.,Brown horse standing in middle of grassy field.,3.0,4.244910776615143,1.2449107766151428,other
A woman is laying down on the floor and holding a baby up above her.,A man is laying on the floor holding a baby up above him.,2.2,4.037734866142273,1.8377348661422728,other
Depressed woman sitting on couch.,Older woman holding newborn baby.,0.0,1.0316184908151627,1.0316184908151627,low_overlap
German Shephard jumping through black hoop while people watch,A dog jumps through a hoop.,3.2,2.044973075389862,1.1550269246101381,low_overlap
two young girls hug each other in the grass.,two young girls holding each other on the grassy ground,4.6,3.5945135354995728,1.005486464500427,other
Two dogs fighting in the snow.,Two dogs standing in the snow.,2.4,3.9998820424079895,1.5998820424079896,other
The girl with the blue bucket splashes beneath the pier.,The girl in the ski jacket is walking near the buildings.,0.4,1.4387242496013641,1.0387242496013642,low_overlap
A black dog is running after a white dog in the snow.,Black dog chasing brown dog through snow,1.8,3.4626740217208862,1.6626740217208862,low_overlap
Two little girls in pink are dancing.,Two ladies jogging on a path near the waterfront.,0.0,1.211588829755783,1.211588829755783,low_overlap
Two people walking along the shore at sunset.,Two people walking along the beach at sunset towarn a group of people.,3.0,4.160431623458862,1.1604316234588623,other
A boy skateboards down the railing of some graffiti stairs,A skateboarder is jumping over an obstacle in front of a white house.,2.8,1.730886846780777,1.0691131532192228,low_overlap
Two girls walking in the ocean.,two girls walking in the street,1.8,3.2711565494537354,1.4711565494537353,other
A black dog running through the snow.,A black dog runs through the water.,2.4,3.4161046147346497,1.0161046147346497,negation_mismatch
A group of people are in the water.,A group of people ride in a race,0.6,2.1162359416484833,1.5162359416484832,other
Black and white dog running through water.,A tan and white dog runs through water.,3.0,4.169211983680725,1.169211983680725,other
A dog jogs through the grass.,a dog trots through the grass.,5.0,3.4440308809280396,1.5559691190719604,other
Group of little girls and a dog standing on the road.,a group of people white water rafting in a blue raft.,1.4,0.11684952303767204,1.2831504769623279,other
A man in a grey suit kneels in front of a woman in a white dress.,A woman in red with a beer followed by a man in white.,0.0,1.7633269727230072,1.7633269727230072,other
A hockey player looks intently downward.,A hockey player during a game.,2.0,3.7842008471488953,1.7842008471488953,other
A man is skating down a set of stairs.,The man is skiing down a snowy hill.,0.8,1.9837293028831482,1.1837293028831481,negation_mismatch
A skateboarder jumps off the stairs.,A dog jumps off the stairs.,0.8,2.2742386162281036,1.4742386162281036,other
Our current vehicles will be in museums when everyone has their own aircraft.,The car needs to some work,0.2,1.256001889705658,1.056001889705658,low_overlap
A man is carrying a canoe with a dog.,A dog is carrying a man in a canoe.,1.8,4.754221737384796,2.9542217373847963,other
The people are leaving the airplane.,The people are entering the plane.,2.2,3.400992751121521,1.2009927511215208,other
a girl with vases in the background inside her house,The girl is standing as the other girl with glasses works on her hand painting.,0.2,1.556628942489624,1.356628942489624,other
The four women are practicing for a upcoming match.,The women are in a play,1.2,2.3069214820861816,1.1069214820861817,other
There is a young girl.,There is a young boy with the woman.,1.0,2.0302271842956543,1.0302271842956543,other
A man has his skis ready for the field to get iced out,A man on a boat getting ready to pull in his net to see what he caught.,0.4,1.6259902715682983,1.2259902715682984,other
A musician is smearing jam on his white guitar at a concert.,Trombonist playing the her instrument in a band for a parade.,0.4,1.5640835464000702,1.1640835464000703,low_overlap
A player bounces a ball.,A player catching a ball.,1.6,3.502015173435211,1.902015173435211,other
