sentence1,sentence2,label,pred,abs_error,category
A person in a black jacket is doing tricks on a motorbike,A person on a black motorbike is doing tricks with a jacket,2.5,4.87180233001709,2.37180233001709,other
A man with a jersey is dunking the ball at a basketball game,The player is missing the basket and a crowd is in background,3.125,2.117493450641632,1.007506549358368,other
Two spectators are kickboxing and some people are watching,Two people are kickboxing and spectators are watching,3.75,4.900278449058533,1.1502784490585327,other
Children in red shirts are playing in the leaves,Children covered by leaves are playing with red shirts,3.625,4.786628484725952,1.1616284847259521,other
Three boys are jumping in the leaves,Children in red shirts are playing in the leaves,3.875,2.6119744777679443,1.2630255222320557,other
Two children are lying in the snow and are making snow angels,Two people wearing snowsuits are on the ground making snow angels,4.5,3.3525294065475464,1.1474705934524536,other
A little girl is looking at a woman in costume,A little girl in costume looks like a woman,2.375,4.2289212346076965,1.8539212346076965,other
Masked people are looking in the same direction in a forest,A little girl is looking at a woman in costume,0.375,1.5890160202980042,1.2140160202980042,other
A man is jumping into an empty pool,There is no biker jumping in the air,0.2499999999999999,1.9494940340518951,1.6994940340518951,negation_mismatch
Five children are standing in front of a wooden hut,Five kids are standing close together and one kid has a gun,1.6249999999999998,2.6391449570655823,1.0141449570655825,other
There is no deer jumping fences,A deer is jumping over a fence,2.10625,3.106505274772644,1.0002552747726439,negation_mismatch
A little boy is watching a family that is hitting a baseball,A family is watching a little boy who is hitting a baseball,3.375,4.924294054508209,1.5492940545082092,other
A large group of Asian people is eating at a restaurant,A group of people in a large Asian restaurant is eating,3.125,4.753747880458832,1.6287478804588318,other
Few people are eating at red tables in a restaurant without lights,Various people are eating at red tables in a crowded restaurant with purple lights,2.75,4.019981026649475,1.269981026649475,other
A group of people from Asia is eating at a restaurant,Various people are eating at red tables in a crowded restaurant with purple lights,2.5,3.6633509397506714,1.1633509397506714,other
Someone is on a black and white motorcycle and is standing on the seat,A motorcycle rider is standing up on the seat of a white motorcycle,3.375,4.442634880542755,1.0676348805427551,other
The blond girl is dancing behind the sound equipment,The blond girl is dancing in front of the sound equipment,3.625,4.847658574581146,1.2226585745811462,other
A woman is wearing an Egyptian headdress,An Egyptian is wearing a woman's headdress,3.625,4.891238212585449,1.2662382125854492,other
The black woman is wearing glasses over the headdress,The woman is wearing glasses and a black headdress,3.375,4.538009762763977,1.163009762763977,other
A man is on a rock high above some trees and is standing in a strange position,A hiker is on top of the mountain and is dancing,2.75,1.660999357700348,1.089000642299652,other
A cowgirl is riding a barrel near a horse in the corner,A cowgirl is riding a horse and corners a barrel,2.25,4.743148386478424,2.493148386478424,other
A boy is standing outside the water,A boy is standing in the water,3.25,4.621495604515076,1.3714956045150757,other
A crowd of people is far from the water,A group of children in uniforms is standing at a gate and one is kissing the mother,0.0,1.0622906684875488,1.0622906684875488,other
"A man, a woman and two girls are walking on the beach","A man, a woman and two girls are sitting on the beach",2.625,4.000836610794067,1.3758366107940674,other
A dog is chasing another and is holding a stick in its mouth,A dog is chasing a stick and holding another dog in its mouth,2.75,4.671242535114288,1.9212425351142883,other
Some people are walking,Some people are standing,3.125,2.0967619121074677,1.0282380878925323,other
Two men are taking a break from a trip on a snowy road,Two men are walking on a snowy road,2.875,3.8916122913360596,1.0166122913360596,other
Two men with bikes are on the side of a snowy road,Two men are breaking into a car during a trip on a snowy road,1.5000000000000002,2.7589887380599976,1.2589887380599973,other
Two men are holding some water standing near fishing poles,Two men are standing near the water and are holding fishing poles,3.25,4.833329916000366,1.5833299160003662,other
Two men are holding fishing poles,Two men are holding some water standing near fishing poles,2.0,4.417522847652435,2.4175228476524353,other
A blond girl is riding the waves,A blond girl waves while she is riding,2.75,4.56163614988327,1.8116361498832703,other
Two children are hanging on a large branch,Two children are climbing a tree,4.0,2.9660114645957947,1.0339885354042053,other
A black man in green is riding a bike,A man dressed in black is riding a bike,3.125,4.339445531368256,1.2144455313682556,other
A man is performing a trick on a green bicycle,A black man in green is riding a bike,2.125,3.5254400968551636,1.4004400968551636,other
A child is holding a squirt gun,There is no child holding a water gun or getting sprayed with water,3.85625,1.877809464931488,1.9784405350685121,negation_mismatch
There is no child holding a squirt gun,A laughing child is holding a water gun and getting sprayed with water,3.25,2.091037631034851,1.158962368965149,negation_mismatch
A laughing child is holding a water gun and getting sprayed with water,A child is holding a squirt gun,4.375,3.1804275512695312,1.1945724487304688,other
Two daschunds are playing with a red ball,Two brown dogs are fighting over a red toy and are playing in the grass,3.5,1.9310012459754944,1.5689987540245056,other
A black person is running along a white stand and a dog barks behind him,The black and white dog is running and a person stands behind it,1.75,4.192548394203186,2.442548394203186,other
A woman who is wearing a pink boa is riding a bicycle down a bridge built for pedestrians,A pedestrian woman is building pink bicycles for boa wearing riders,2.25,4.130873680114746,1.880873680114746,other
There is no man wearing a black helmet and pushing a bicycle,One man is wearing a black helmet and pushing a bicycle,2.625,3.8145238161087036,1.1895238161087036,negation_mismatch
One man is wearing a black helmet and pushing a bicycle,A man is pushing a helmet towards another one on a black bicycle,3.0,4.398864805698395,1.3988648056983948,negation_mismatch
One man is wearing a black helmet and pushing a bicycle,A biker wearing black is breaking the gears,1.6249999999999998,2.810991406440735,1.185991406440735,other
The man in a grey t-shirt is sitting on a rock in front of the waterfall,A rocker is sitting with a t-shirt that has a man over a grey waterfall on the front,2.5,3.8101881742477417,1.3101881742477417,other
A woman is sitting and looking at the waterfall,Somebody is sitting at the waterfall and looking at a woman,2.625,4.473357200622559,1.8483572006225586,other
A dog that has a brown and white coat is trotting through shallow water,A brown and white coat is floating across shallow water near a trotting dog,2.375,4.050674140453339,1.6756741404533386,other
A white and brown dog is walking through the water with difficulty,There is no white and brown dog pacing with through the water difficulty,2.0,3.579483926296234,1.5794839262962341,negation_mismatch
A white man is walking a dog through brown water with difficulty,A dog that has a brown and white coat is trotting through shallow water,1.6249999999999998,3.0263277888298035,1.4013277888298037,other
